keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Sommer',de,Sommer,#a89216,#a89216,2,0.2157205827726416
'Hochwasser',de,Winter,#4287f5,#022f78,3,0.2049972683349153
'Schnee',de,Winter,#4287f5,#638ed4,3,0.2044607217800157
'Winter',de,Winter,#4287f5,#315fa8,3,0.2029654295412718
'Dürre',de,Sommer,#a89216,#bfba22,3,0.1850798882205756
'Gewitter',de,Sommer,#a89216,#c4b03b,3,0.1844622990202666
'Glatteis',de,Winter,#4287f5,#3b4a63,3,0.183284143126183
'Frühling',de,Frühling,#679e2c,#679e2c,3,0.1758968523806339
'Herbst',de,Herbst,#9e3215,#9e3215,3,0.1746816819415775
'Ernte',de,Herbst,#9e3215,#d64118,3,0.1594136418132229
'Aussaat',de,Frühling,#679e2c,#7db344,1,0.119539085167695
'Laub',de,Herbst,#9e3215,#802d16,3,0.1055093075122952
'Niedrigwasser',de,Sommer,#a89216,#87830f,1,0.0872266563333361
'Blüte',de,Frühling,#679e2c,#61b00c,3,0.0857521865014213
'Weinlese',de,Herbst,#9e3215,#b55035,1,0.0430558436640294
'Spätfrost',de,Frühling,#679e2c,#477515,1,0.0129162713384208
'Laubfall',de,Herbst,#9e3215,#802d16,1,0.000787260676557825
